"Código","Descripción","Forma","Concentración","Pres.","I NA","II NA","III NA","Vía Adm.","Indicaciones","Reg. Terapéutico"
"J04BA01","Clofazimina","Solido oral","100 mg","E (p) Especialista, Protocolo","","1","1","O        Oral","Indicación general:Lepra multibacilar.",""
"J04BA02","Dapsona","Solido oral","100 mg","E (p) Especialista, Protocolo","","1","1","O        Oral","Indicación general: Lepra. Neumonía por Pneumocystis jiroveci.",""
"J05AB01","Aciclovir","Liquido oral","200 mg/5 mL","G","1","1","1","O        Oral","Indicación general: Indicado en el tratamiento de infecciones por virus del herpes simplex, herpes genital y herpes mucocutáneo.Herpes Zoster (culebrilla), varicela Zoster (varicela).",""
"J05AB01","Aciclovir","Solido oral","200 mg - 800 mg","G","1","1","1","O        Oral","Indicación general: Indicado en el tratamiento de infecciones por virus del herpes simplex, herpes genital y herpes mucocutáneo.Herpes Zoster (culebrilla), varicela Zoster (varicela).",""
"J05AB01","Aciclovir","Solido parenteral","250 mg","HE     Hospitalario Especialista","","1","1","P         Parenteral","Indicación general: Indicado en el tratamiento de infecciones por virus del herpes simplex, herpes genital y herpes mucocutáneo.Herpes Zoster (culebrilla), varicela Zoster (varicela).",""
"J05AB14","Valganciclovir","Solido oral","450 mg","E    Especialista","","1","1","O        Oral","Indicación general: Tratamiento de inducción y mantenimiento de la retinitis por citomegalovirus (CMV) en pacientes adultos con síndrome de inmunodeficiencia adquirida (SIDA).Prevención de la enfermedad por CMV en adultos y niños seronegativos al CMV que han recibido un trasplante de órgano sólido de un donante seropositivo al CMV.",""
"J05AE03","Ritonavir","Solido oral","100 mg","(p)  Protocolo","1","1","1","O        Oral","Indicación general: Indicado en combinación con otros agentes antirretrovirales para el tratamiento de la infección por VIH. Refuerzo de inhibidores de proteasa en el tratamiento de la infección por VIH.",""
"J05AE08","Atazanavir","Solido oral","150 mg y 200 mg","(p)  Protocolo","1","1","1","O        Oral","Indicación general:Tratamiento de pacientes adultos y pediátricos mayores de 6 años de edad usado como tercera droga en el esquema de terapia antirretroviral en infección por el Virus de la Inmunodeficiencia Humana (VIH), administrado de forma conjunta con dosis baja de ritonavir y en combinación con otros antirretrovirales.",""
"J05AE10","Darunavir","Solido oral","400 mg - 800 mg","(p)  Protocolo","1","1","1","O        Oral","Indicación general:Indicado para el tratamiento de adultos y niños mayores de 3 años infectados por el Virus de la Inmunodeficiencia Humana (resistencia a la terapia estándar con otros inhibidores de la proteasa), puede administrarse con dosis bajas de ritonavir o con otros agentes antirretrovirales.",""
"J05AF01","Zidovudina","Liquido oral","50 mg/5 mL","(p)  Protocolo","1","1","1","O        Oral","Indicación general:Tratamiento de la infección producida por el Virus de la Inmunodeficiencia Humana (VIH) en adultos y niños, en combinación con otros agentes antirretrovirales. En monoterapia está indicada para mujeres embarazadas VIH positivas (con más de 14 semanas de gestación) y en sus hijos recién nacidos para profilaxis primaria de la transmisión materno-fetal del VIH.",""
"J05AF01","Zidovudina","Liquido parenteral","10 mg/mL","(p)  Protocolo","1","1","1","P         Parenteral","Indicación general:Tratamiento de la infección producida por el Virus de la Inmunodeficiencia Humana (VIH) en adultos y niños, en combinación con otros agentes antirretrovirales. En monoterapia está indicada para mujeres embarazadas VIH positivas (con más de 14 semanas de gestación) y en sus hijos recién nacidos para profilaxis primaria de la transmisión materno-fetal del VIH.",""
"J05AF01","Zidovudina","Solido oral","100 mg y 300 mg","(p)  Protocolo","1","1","1","O        Oral","Indicación general:Tratamiento de la infección producida por el Virus de la Inmunodeficiencia Humana (VIH) en adultos y niños, en combinación con otros agentes antirretrovirales. En monoterapia está indicada para mujeres embarazadas VIH positivas (con más de 14 semanas de gestación) y en sus hijos recién nacidos para profilaxis primaria de la transmisión materno-fetal del VIH.",""
"J05AF05","Lamivudina","Liquido oral","50 mg/5 mL","(p)  Protocolo","1","1","1","O        Oral","Indicación general: Indicado en terapia de combinación antirretroviral para el tratamiento de adultos y niños infectados por el Virus de la Inmunodeficiencia Humana (VIH).   Tratamiento de hepatitis B crónica en adultos con enfermedad hepática compensada con evidencia de replicación viral activa, niveles de alanina aminotransferasa (ALT) sérica elevados de forma persistente y evidencia histológica de inflamación hepática activa y/o fibrosis. Sólo se debe considerar el comienzo del tratamiento con lamivudina cuando no está disponible o no sea apropiado el uso de un agente antiviral alternativo con una barrera genética más alta a resistencia.",""
"J05AF05","Lamivudina","Solido oral","150 mg","(p)  Protocolo","1","1","1","O        Oral","Indicación general: Indicado en terapia de combinación antirretroviral para el tratamiento de adultos y niños infectados por el Virus de la Inmunodeficiencia Humana (VIH).   Tratamiento de hepatitis B crónica en adultos con enfermedad hepática compensada con evidencia de replicación viral activa, niveles de alanina aminotransferasa (ALT) sérica elevados de forma persistente y evidencia histológica de inflamación hepática activa y/o fibrosis. Sólo se debe considerar el comienzo del tratamiento con lamivudina cuando no está disponible o no sea apropiado el uso de un agente antiviral alternativo con una barrera genética más alta a resistencia.",""
"J05AF06","Abacavir","Liquido oral","10 mg/mL y 20 mg/mL","E (p) Especialista, Protocolo","","1","1","O        Oral","Indicación general:Infección por VIH en combinación con otro inhibidor de la transcriptasa inversa análogo nucleosídico, como eje del esquema de la terapia antirretroviral.",""
"J05AF06","Abacavir","Solido oral","300 mg","(p)  Protocolo","1","1","1","O        Oral","Indicación general:Infección por VIH en combinación con otro inhibidor de la transcriptasa inversa análogo nucleosídico, como eje del esquema de la terapia antirretroviral.",""
"J05AF07","Tenofovir disoproxil fumarato","Solido oral","300 mg","(p)  Protocolo","1","1","1","O        Oral","Indicación general: Indicado en combinación con otros agentes antirretrovirales para el tratamiento de la infección por VIH.Hepatitis B crónica.",""
"J05AF09","Emtricitabina","Liquido oral","10 mg/mL","(p)  Protocolo","1","1","1","O        Oral","Indicación general:Infección por VIH, en combinación con otros antirretrovirales HIV profilaxis post-exposición 200 mg vía oral cada día Como parte de un regimen multidroga",""
"J05AF09","Emtricitabina","Solido oral","200 mg","(p)  Protocolo","1","1","1","O        Oral","Indicación general:Infección por VIH, en combinación con otros antirretrovirales HIV profilaxis post-exposición 200 mg vía oral cada día Como parte de un regimen multidroga",""
"J05AG01","Nevirapina","Liquido oral","50 mg/5 mL","(p)  Protocolo","1","1","1","O        Oral","Indicación general:Infección por VIH, en combinación con otros antirretrovirales.",""
"J05AG01","Nevirapina","Solido oral","200 mg","(p)  Protocolo","1","1","1","O        Oral","Indicación general:Infección por VIH, en combinación con otros antirretrovirales.",""
"J05AG03","Efavirenz","Liquido oral","30 mg/mL","(p)  Protocolo","1","1","1","O        Oral","Indicación general: Infección por VIH, en combinación con otros antiretrovirales.",""
"J05AG03","Efavirenz","Solido oral","50 mg - 600 mg","(p)  Protocolo","1","1","1","O        Oral","Indicación general: Infección por VIH, en combinación con otros antiretrovirales.",""
"J05AG04","Etravirina","Solido oral","100 mg y 200 mg","(p)  Protocolo","1","1","1","O        Oral","Indicación general:Tratamiento de la infección por Virus de la Inmunodeficiencia Humana tipo-1 (VIH-1), en combinación con dos o más agentes agentes antirretrovirales adicionales; en pacientes con tratamiento previo, que exhiben replicación viral con resistencia documentada a inhibidores no nucleótidos de la transcriptasa inversa (INNTI).",""
"J05AH02","Oseltamivir","Solido oral","75 mg","(p)  Protocolo","1","1","1","O        Oral","Indicación general:Tratamiento y profilaxis para la Influenza A y B.Tratamiento y profilaxis para la Influenza A H1N1.",""
"J05AJ01","Raltegravir","Solido oral","400 mg","(p)  Protocolo","1","1","1","O        Oral","Indicación general: Infección por VIH, en combinación con otros antiretrovirales.",""
"J05AJ03","Dolutegravir sódico*","Solido oral","50 mg","E (p) Especialista, Protocolo","","1","1","O        Oral","Indicación exclusiva: Combinado con otros medicamentos para el tratamiento de adultos, adolescentes y niños mayores de 6 años infectados por el Virus de Inmunodeficiencia Humana (VIH). Uso en combinación con inhibidores de la transcriptasa reversa.",""
"J05AP01","Ribavirina*","Solido oral","200 mg - 600 mg","HE     Hospitalario Especialista","","1","1","O        Oral","Indicación exclusiva: Tratamiento de la infección por el virus de la hepatitis C.",""
"J05AP08","Sofosbuvir*","Solido oral","400 mg","HE     Hospitalario Especialista","","1","1","O        Oral","Indicación exclusiva: Tratamiento de hepatitis C.",""
"J05AR01","Zidovudina + Lamivudina","Solido oral","300 mg + 150 mg","(p)  Protocolo","1","1","1","O        Oral","Indicación general: Infección por VIH, en combinación con otros antirretrovirales.",""
"J05AR02","Lamivudina + Abacavir","Solido oral","300 mg + 600 mg","(p)  Protocolo","1","1","1","O        Oral","Indicación general: Infección por VIH, en combinación con otros antirretrovirales.",""
"J05AR03","Tenofovir Disoproxil Fumarato + Emtricitabina","Solido oral","300 mg + 200 mg","(p)  Protocolo","1","1","1","O        Oral","Indicación general: Infección por VIH, en combinación con otros antirretrovirales. En adultos y adolescentes que pesen al menos 35 Kg.Profilaxis previa a la exposición al VIH-1Indicado en combinación con prácticas sexuales más seguras para reducir el riesgo de VIH-1 adquirido sexualmente en adultos y adolescentes en riesgo que pesen ≥35 Kg  ",""
"J05AR06","Tenofovir Disoproxil Fumarato+ Emtricitabina + Efavirenz","Solido oral","300 mg + 200 mg + 600 mg","(p)  Protocolo","1","1","1","O        Oral","Indicación general: Tratamiento de  infección por VIH, virus de inmunodeficiencia humana 1.",""
"J05AR10","Lopinavir + Ritonavir","Liquido oral","80 mg + 20 mg/mL","(p)  Protocolo","1","1","1","O        Oral","Indicación general:Infección por VIH, en combinación con otros antirretrovirales.",""
"J05AR10","Lopinavir + Ritonavir","Solido oral","(100 mg + 25 mg) y  (200 mg + 50 mg)","(p)  Protocolo","1","1","1","O        Oral","Indicación general:Infección por VIH, en combinación con otros antirretrovirales.",""
"J06AA01","Diftérica antitoxina","Liquido parenteral","","G","1","1","1","P         Parenteral","Indicación general: Inmunización pasiva contra difteria o sospecha de difteria (sin confirmación bacteriológica de la infección).",""
"J06AA02","Tetánica antitoxina","Liquido parenteral","","G","1","1","1","P         Parenteral","Indicación general: Inmunización pasiva contra tétanos.",""
"J06AA03","Suero antiofídico polivalente","Liquido parenteral/Solido parenteral","","G","1","1","1","P         Parenteral","Indicación general: Inmunización pasiva en envenenamiento por accidente ofídico evidente, con signos precoces como: edema, flictenas, parálisis neurotóxica, alteración de la coagulación y/o hemorragia; por especies venenosas como: Familia Viperidae: Bothrops asper, Bothrops atrox, Bothrops xantograma, Bothrops microphthalmus, Bothriopsis bilineata, Bothriopsis taeniata, Lachesis muta, entre otras.Familia Elapidae: Micrurus spp.",""
"J06BA02","Inmunoglobulina humana normal","Liquido parenteral/Solido parenteral","50 mg - 200 mg","H   Hospitalaria","","1","1","P         Parenteral","Indicación general: Inmunodeficiencia primaria, inmunodeficiencia secundaria. Púrpura trombocitopénica idiopática. Polineuropatía desmielinizante inflamatoria crónica. Trasplante de médula ósea. Leucemia linfoide de células B crónica. Neuropatía multifocal.",""
"J06BB01","Inmunoglobulina anti D (rh)","Liquido parenteral","125 mcg - 300 mcg  (625 UI - 1500 UI)","E    Especialista","","1","1","P         Parenteral","Indicación general: Incompatibilidad Rh en embarazo. Incompatibilidad Rh en transfusiones.",""
"J06BB02","Inmunoglobulina antitetánica","Liquido parenteral/Solido parenteral","200 UI - 500 Ul","G","1","1","1","P         Parenteral","Indicación general: Inmunización pasiva contra el tétanos como parte del tratamiento de las heridas tetanígenas en personas: no inmunizadas o incompletamente inmunizadas, con historia desconocida de inmunización, aquellas que recibieron la última dosis de vacuna antitetánica hace más de 10 años y pacientes con disminución de la inmunidad.",""
"J06BB04","Inmunoglobulina antihepatitis B*","Liquido parenteral","10 mcg/0,5 mL y  20 mcg/mL","G","1","1","1","P         Parenteral","Indicación exclusiva: Profilaxis para no respondedores conocidos a la vacuna o rechazo de la vacuna de hepatitis B.En caso de exposición accidental o abuso sexual en sujetos no inmunizados (incluidas personas cuya vacunación es incompleta o desconocida), incluir a la pareja sexual no infectada.En pacientes en hemodiálisis, hasta que surta efecto la vacuna.En recién nacidos de madres portadoras del virus de la hepatitis B.Prevención de la reinfección por virus de la hepatitis B después de trasplante hepático debido a insuficiencia hepática inducida por la hepatitis B.",""
"J06BB05","Inmunoglobulina antirrábica","Liquido parenteral","150 UI/mL - 1500Ul/mL","G","1","1","1","P         Parenteral","Indicación general: Profilaxis post exposición de rabia, en personas expuestas a mordeduras o arañazos de animales que se conoce o sospecha sean transmisores de rabia. En individuos no inmunizados (junto con la vacuna contra la rabia). Inmunización previa a personas en alto riesgo (veterinarios, laboratoristas, administradores de vacuna con riesgo de punturas, viajantes a países con rabia endémica).",""
"J07AH02","Vacuna antimeningococo","Liquido parenteral/Solido parenteral","","G","1","1","1","P         Parenteral","Indicación general:Inmunización activa para la prevención de la enfermedad meningocócica.",""
"J07AJ52","Toxoide diftérico tetánico + Vacuna pertussis  (Vacuna triple DPT)","Liquido parenteral","> 30 UI > 40 UI","G","1","1","1","P         Parenteral","Indicación general: Prevención y control de la difteria toxigénica, tosferina y toxina del tetanos.",""
"J07AL02","Vacuna antineumococo (polisacárido y conjugado)","Liquido parenteral","","G","1","1","1","P         Parenteral","Indicación general: Inmunización activa contra neumococo.",""
"J07AM01","Toxoide tetánico","Liquido parenteral","> 40 UI/0,5 mL","G","1","1","1","P         Parenteral","Indicación general: Inmunización activa contra Clostridium tetani (tétanos). Co-tratamiento del manejo de heridas con riesgo de provocar tétanos, si la inmunización primaria fue incompleta o los refuerzos no se han efectuado oportunamente.",""
"J07AM51","Toxoide tetánico, combinaciones con toxoide diftérico","Liquido parenteral","","G","1","1","1","P         Parenteral","Indicación general:Inmunización activa contra tétanos y difteria.",""
"J07AN01","Vacuna BCG antituberculosa","Solido parenteral","","G","1","1","1","P         Parenteral","Indicación general: Inmunización activa contra formas graves de tuberculosis (miliar o meníngea).",""
"J07BB02","Vacuna de la Influenza Inactivado y Separado, o Antígeno Superficial","Liquido parenteral","","G","1","1","1","P         Parenteral","Indicación general:Inmunización activa para prevenir la influenza.",""
"J07BC01","Vacuna antihepatitis B","Liquido parenteral","","G","1","1","1","P         Parenteral","Indicación general: Inmunización activa contra la infección de la hepatitis B.",""
"J07BC02","Vacuna antihepatitis A","Liquido parenteral","","G","1","1","1","P         Parenteral","Indicación general: Inmunización activa contra hepatitis A.",""
"J07BD52","Vacuna triple viral (Parotiditis-Sarampión- Rubéola)","Solido parenteral","","G","1","1","1","P         Parenteral","Indicación general: Prevención del sarampión, rubéola y parotiditis.",""
"J07BD53","Vacuna Sarampión, Virus Vivo Atenuado Combinado con la Vacuna contra la Rubéola","Solido parenteral","","G","1","1","1","P         Parenteral","Indicación general:Inmunización activa contra el sarampión y rubéola.",""
"J07BF02","Vacuna antipoliomielítica (tOPV)","Liquido oral","","G","1","1","1","O        Oral","Indicación general: Inmunización activa contra poliomielitis.",""
"J07BF03","Vacuna Poliomielitis, Inactivado, Virus Entero, Trivalente","Liquido parenteral","","G","1","1","1","P         Parenteral","Indicacion general:Inmunización activa contra poliomielitis cuando la vacuna oral está contraindicada. ",""
"J07BF04","Vacuna Poliomielitis, Virus Vivo Atenuado, Bivalente (bOPV)","Liquido oral","","G","1","1","1","O        Oral","Indicación general: Inmunización activa contra la poliovirus tipo 1 y tipo 3.",""
"J07BG01","Vacuna antirrábica, Virus completo Inactivado","Liquido parenteral/Solido parenteral","","G","1","1","1","P         Parenteral","Indicación general: Inmunización activa contra la rabia.",""
"J07BH01","Vacuna antirotavirus, Virus vivo Atenuado","Liquido oral","","G","1","1","1","O        Oral","Indicación general: Inmunización activa contra rotavirus de los serotipos contenidos en la vacuna.",""
"J07BK01","Vacuna Varicela, Virus Vivo Atenuado","Solido parenteral","","G","1","1","1","P         Parenteral","Indicación general: Inmunización activa contra varicela.",""
"J07BL01","Vacuna antiamarílica, Virus Vivo Atenuado","Solido parenteral","","G","1","1","1","P         Parenteral","Indicación general: Inmunización activa contra la fiebre amarilla.",""
"J07CA11","Vacuna pentavalente  viral  (Difteria - haemophilus influenzae B - pertussis -  tétanos - hepatitis B )","Liquido parenteral/Solido parenteral","","G","1","1","1","P         Parenteral","Indicación general: Inmunización activa contra difteria, Haemophilus influenza B, tosferina, tétanos y hepatitis B.",""
"L01AA01","Ciclofosfamida","Solido oral","50 mg","E (p) Especialista, Protocolo","","1","1","O        Oral","Indicación general:Neoplasias sólidas y hematológicas (monoterapia o en combinación con otros agentes).Acondicionamiento para trasplante de médula ósea.Enfermedades autoinmunes que comprometen la vida como: formas progresivas graves de nefritis lúpica y granulomatosis de Wegener. Antídoto:Intoxicación por paraquat. ",""
"L01AA01","Ciclofosfamida","Solido parenteral","500 mg y 1.000 mg","H   Hospitalaria","","1","1","P         Parenteral","Indicación general:Neoplasias sólidas y hematológicas (monoterapia o en combinación con otros agentes).Acondicionamiento para trasplante de médula ósea.Enfermedades autoinmunes que comprometen la vida como: formas progresivas graves de nefritis lúpica y granulomatosis de Wegener. Antídoto:Intoxicación por paraquat. ",""
"L01AA02","Clorambucilo","Solido oral","2 mg","E (p) Especialista, Protocolo","","1","1","O        Oral","Indicación general: Linfoma de Hodgkin.Linfoma no Hodgkin.Leucemia linfocítica crónica.Macroglobulinemia de Waldestrom.",""
"L01AA03","Melfalán","Solido oral","2 mg","E (p) Especialista, Protocolo","","1","1","O        Oral","Indicación general:Melanoma maligno, sarcoma de tejidos blandos.Mieloma múltiple.Cáncer de ovario.Neuroblastoma en la infancia junto con trasplante de progenitores hematopoyéticos, monoterapia o en combinación con radioterapia y/o otros fármacos citotóxicos. Acondicionamiento para trasplante de progenitores hematopoyéticos.",""
"L01AA03","Melfalán","Solido parenteral","50 mg","HE     Hospitalario Especialista","","","1","P         Parenteral","Indicación general:Melanoma maligno, sarcoma de tejidos blandos.Mieloma múltiple.Cáncer de ovario.Neuroblastoma en la infancia junto con trasplante de progenitores hematopoyéticos, monoterapia o en combinación con radioterapia y/o otros fármacos citotóxicos. Acondicionamiento para trasplante de progenitores hematopoyéticos.",""
"L01AA06","Ifosfamida","Solido parenteral","1 g","HE (p) Hospitalario Especialista Protocolo","","1","1","P         Parenteral","Indicación general:Cáncer de testículo  (seminoma, teratoma, teratocarcinoma).  Sarcomas de partes blandas, osteosarcomas.Linfomas de Hodgkin y no Hodgkin.Cáncer de páncreas.Cáncer de ovario.Cáncer de endometrio.Cáncer de cuello uterinoCáncer de mama.Cáncer de pulmón de células pequeñas.Hipernefroma.",""
"L01AA09","Bendamustina*","Solido parenteral","25 mg y 100 mg","E (p) Especialista, Protocolo","","1","1","P         Parenteral","Indicación exclusiva: Leucemia linfocítica crónica. Linfoma folicular (indolente). Uso exclusivo bajo protocolo.",""
"L01AX03","Temozolomida","Solido oral","20 mg - 250 mg","E (p) Especialista, Protocolo","","1","1","O        Oral","Indicación general:Glioblastoma multiforme de nuevo diagnóstico concomitante con radioterapia (RT) y posteriormente como tratamiento en monoterapia.Niños a partir de tres años de edad, adolescentes y pacientes adultos con astrocitoma anaplásico, glioblastoma multiforme que presentan recurrencia o progresión después de terapia estándar.",""
"L01AX04","Dacarbazina","Solido parenteral","100 mg y 200 mg","HE (p) Hospitalario Especialista Protocolo","","1","1","P         Parenteral","Indicación general: Linfoma de Hodgkin.Melanoma metastásico.Sarcomas de tejidos blandos.",""
"L01BA01","Metotrexato","Liquido parenteral","25 mg/mL","HE (p) Hospitalario Especialista Protocolo","","1","1","P         Parenteral","Indicación general: Leucemia linfoide aguda.Cáncer de mama.Cáncer de cabeza y cuello.Micosis fungoides.Osteosarcoma.Neoplasia trofoblástica gestacional (coriocarcinoma).Artritis reumatoide activa en pacientes adultos.Psoriasis severa incapacitante. Embarazo ectópico no accidentado.Cáncer de vejiga. Linfoma no Hodgkin.",""
"L01BA01","Metotrexato","Solido oral","2,5 mg","E (p) Especialista, Protocolo","1","1","1","O        Oral","Indicación general: Leucemia linfoide aguda.Cáncer de mama.Cáncer de cabeza y cuello.Micosis fungoides.Osteosarcoma.Neoplasia trofoblástica gestacional (coriocarcinoma).Artritis reumatoide activa en pacientes adultos.Psoriasis severa incapacitante. Embarazo ectópico no accidentado.Cáncer de vejiga. Linfoma no Hodgkin.",""
"L01BA01","Metotrexato","Solido parenteral","50 mg y 500 mg","HE (p) Hospitalario Especialista Protocolo","","1","1","P         Parenteral","Indicación general: Leucemia linfoide aguda.Cáncer de mama.Cáncer de cabeza y cuello.Micosis fungoides.Osteosarcoma.Neoplasia trofoblástica gestacional (coriocarcinoma).Artritis reumatoide activa en pacientes adultos.Psoriasis severa incapacitante. Embarazo ectópico no accidentado.Cáncer de vejiga. Linfoma no Hodgkin.",""
"L01BA04","Pemetrexed","Solido parenteral","500 mg","HE (p) Hospitalario Especialista Protocolo","","1","1","P         Parenteral","Indicación general: Mesotelioma pleural maligno.Cáncer pulmonar de células no pequeñas.",""
"L01BB02","Mercaptopurina","Solido oral","50 mg","E (p) Especialista, Protocolo","","1","1","O        Oral","Indicación general:Leucemia linfoidea aguda, leucemia mieloide aguda y crónica.Colitis ulcerativa, enfermedad de Crohn.Histiocitosis.Linfoma no Hodgkin.",""
"L01BB03","Tioguanina","Solido oral","40 mg","E (p) Especialista, Protocolo","","1","1","O        Oral","Indicación general:Leucemia linfoidea aguda, leucemia mieloide aguda y leucemia granulocítica crónica.",""
"L01BB05","Fludarabina","Solido parenteral","50 mg","HE (p) Hospitalario Especialista Protocolo","","1","1","P         Parenteral","Indicación general: Tratamiento de leucemia linfocítica crónica de células B (LLC) en pacientes con suficiente reserva medular. El tratamiento en primera línea con fludarabina debe instaurarse sólo en pacientes con enfermedad avanzada, estadios de Rai III/IV (estadio de Binet C), o en estadios de Rai I/II (estadio de Binet A/B) si el paciente presenta síntomas relacionados con la enfermedad o evidencia de enfermedad progresiva, linfoma no Hodgkin, enfermedad de Hodgkin y esquema de acondicionamiento pre-transplante.",""
"L01BC01","Citarabina","Solido parenteral","100 mg - 1.000 mg","HE (p) Hospitalario Especialista Protocolo","","1","1","P         Parenteral","Indicación general:Leucemia mieloide aguda, leucemia linfoide aguda, linfomas. Leucemia meningea. Otras leucemias agudas y en la leucemia mieloide crónica (fase blástica). ",""
"L01BC02","Fluoruracilo","Liquido parenteral","25 mg/mL - 50 mg/mL","HE (p) Hospitalario Especialista Protocolo","","1","1","P         Parenteral","Indicación general:Cáncer del tracto gastrointestinal (colorrectal, gástrico, pancreático, vías biliares esófago, ano).Mama, ovario, cuello uterino, cabeza y cuello.Carcinoma basocelular.",""
"L01BC02","Fluoruracilo","Semisolido cutaneo","5 %","E (p) Especialista, Protocolo","","1","1","T           Topico","Indicación general:Cáncer del tracto gastrointestinal (colorrectal, gástrico, pancreático, vías biliares esófago, ano).Mama, ovario, cuello uterino, cabeza y cuello.Carcinoma basocelular.",""
"L01BC05","Gemcitabina","Solido parenteral","200 mg y 1.000 mg","E (p) Especialista, Protocolo","","1","1","P         Parenteral","Indicación general: Cáncer de mama metastásico o localmente avanzado, cáncer de ovario localmente avanzado o metastásico, cérvix como radiosensibilizador, sarcoma uterino.  Cáncer de pulmón de células no pequeñas localmente avanzado o metastásico, Cáncer pancreático localmente avanzado o metastásico. Cáncer de vejiga localmente avanzado o metastásico, cáncer de vesícula y vías biliares.Linfoma no Hodking.Cáncer primario desconocido.",""
"L01BC06","Capecitabina","Solido oral","500 mg","E (p) Especialista, Protocolo","","1","1","O        Oral","Indicación general:Cáncer de colon estadio III (estadio C de Dukes), adyuvante luego de cirugía.Cáncer colorrectal metastásico.Cáncer gástrico avanzado.Cáncer de mama localmente avanzado o metastásico se usa en 1era línea o tras fallo de otra quimioterapia citotóxica.Cáncer del tracto gastrointestinal (colorrectal, gástrico, pancreático, vías biliares esófago, ano).Cabeza y cuello.",""
"L01BC07","Azacitidina*","Solido parenteral","100 mg","HE (p) Hospitalario Especialista Protocolo","","","1","P         Parenteral","Indicación aprobada en la 11ª Revisión del CNMB: Síndromes mielo displásicos intermedios 2 y de alto riesgo, según el sistema internacional de puntuación pronóstica (IPSS).",""
"L01CA01","Vinblastina","Solido parenteral","10 mg/mL","HE (p) Hospitalario Especialista Protocolo","","1","1","P         Parenteral","Enfermedad de Hodgkin generalizada (fases III y IV).Linfoma linfocítico (nodular y difuso, poco y bien diferenciado).Linfoma histiocítico.Enfermedad de Letter-Siwe (Histiocitosis X).Sarcoma de Kaposi.Micosis fungoides (fases avanzadas).Carcinoma testicular avanzado.Cáncer de células escamosas de cabeza y cuello.",""
"L01CA02","Vincristina Sulfato","Liquido parenteral","1 mg/mL","E (p) Especialista, Protocolo","","1","1","P         Parenteral","Indicación general: Leucemia linfoblastica aguda.Enfermedad de Hodgkin.Linfoma No Hodgkin. Rabdomiosarcoma.Neuroblastoma.Tumor de Wilms.Sarcoma de Ewing.Melanoma.Púrpura trombocitopenica idiopática.Sarcoma osteogénico. Cáncer de mama. Cáncer de pulmón de células pequeñas",""
"L01CA02","Vincristina Sulfato","Solido parenteral","1 mg","E (p) Especialista, Protocolo","","1","1","P         Parenteral","Indicación general: Leucemia linfoblastica aguda.Enfermedad de Hodgkin.Linfoma No Hodgkin. Rabdomiosarcoma.Neuroblastoma.Tumor de Wilms.Sarcoma de Ewing.Melanoma.Púrpura trombocitopenica idiopática.Sarcoma osteogénico. Cáncer de mama. Cáncer de pulmón de células pequeñas",""
"L01CA04","Vinorelbina*","Liquido parenteral","10 mg/mL","HE     Hospitalario Especialista","","1","1","P         Parenteral","Indicación exclusiva: Cáncer de pulmón de células no pequeñas.Cáncer de mama metastásico.",""
"L01CB01","Etopósido","Liquido parenteral","20 mg/mL","HE (p) Hospitalario Especialista Protocolo","","1","1","P         Parenteral","Indicación general:Tumor germinal.Cáncer pulmonar de células pequeñas.Linfomas.Leucemia mieloide aguda.Leucemia linfoblástica aguda.Cáncer de ovario.Tumor neuroendócrino.Neoplasia trofoblástica gestacional",""
"L01CB01","Etopósido","Solido oral","50 mg","E (p) Especialista, Protocolo","","1","1","O        Oral","Indicación general:Tumor germinal.Cáncer pulmonar de células pequeñas.Linfomas.Leucemia mieloide aguda.Leucemia linfoblástica aguda.Cáncer de ovario.Tumor neuroendócrino.Neoplasia trofoblástica gestacional",""
"L01CD01","Paclitaxel","Liquido parenteral","6 mg/mL","HE (p) Hospitalario Especialista Protocolo","","1","1","P         Parenteral","Indicación exclusiva. Combinado con Gemcitabina, está indicado en el tratamiento de primera línea del adenocarcinoma metstásico de páncreas.11a rev. Indicación general: Cáncer de ovario.Cáncer de mama.Cáncer de pulmón.Sarcoma de Kaposi asociado a SIDA.Cáncer de cérvix.Cáncer de vejiga.Cáncer de esófago.Cáncer de estómago.Angiosarcoma.",""
"L01CD01","Nab-Paclitaxel*","Solido parenteral","100 mg","HE (p) Hospitalario Especialista Protocolo","","1","1","P         Parenteral","Indicación exclusiva. Combinado con Gemcitabina, está indicado en el tratamiento de primera línea del adenocarcinoma metstásico de páncreas.11a rev. Indicación general: Cáncer de ovario.Cáncer de mama.Cáncer de pulmón.Sarcoma de Kaposi asociado a SIDA.Cáncer de cérvix.Cáncer de vejiga.Cáncer de esófago.Cáncer de estómago.Angiosarcoma.",""
"L01CD02","Docetaxel","Liquido parenteral","20 mg y 80 mg","HE (p) Hospitalario Especialista Protocolo","","1","1","P         Parenteral","Indicación general: Cáncer de mama metastásico, cáncer gastrointestinal.Cáncer de próstata, cáncer de cabeza y cuello, y cáncer de pulmón de células no pequeñas.",""
"L01CE02","Irinotecán","Liquido parenteral","20 mg/mL","E (p) Especialista, Protocolo","","1","1","P         Parenteral","Quimioterapia, antineoplásica para cáncer metastásico de colon.",""
"L01DA01","Dactinomicina","Solido parenteral","0,5 mg","HE (p) Hospitalario Especialista Protocolo","","1","1","P         Parenteral","Indicación general: Tumor de Wilms.Sarcoma de Ewing.Neoplasia trofoblástica gestacional.Carcinoma testicular (metastásico no seminomatoso).Rabdomiosarcoma en niños.",""
